Day10 过拟合与正则化实验汇总
================================================
数据设置：训练集 40 个点，其中 15% 标签被故意翻转；测试集 400 个点，不加标签噪声。
观察重点：不要只看 train_acc，要看 test_acc 以及 train_acc - test_acc 的 gap。

model | train_loss | test_loss | train_acc | test_acc | gap
baseline | 0.01141 | 1.65734 | 1.000 | 0.695 | 0.305
weight_decay | 0.16279 | 1.30367 | 0.925 | 0.650 | 0.275
dropout | 0.15923 | 0.56535 | 0.975 | 0.748 | 0.228

训练集 accuracy 最高：baseline (1.000)
测试集 accuracy 最高：dropout (0.748)
train/test gap 最小：dropout (0.228)

结论：baseline 最容易记住小训练集；weight decay 和 dropout 会牺牲一点训练集表现，换取更稳的泛化表现。

baseline 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
    9 |    0.34805 |     0.850 |    0.853 | -0.002
   10 |    0.37038 |     0.875 |    0.800 | 0.075
   11 |    0.33180 |     0.825 |    0.835 | -0.010
   12 |    0.36013 |     0.800 |    0.832 | -0.032
   13 |    0.35232 |     0.825 |    0.810 | 0.015
   14 |    0.32903 |     0.825 |    0.790 | 0.035
   15 |    0.33793 |     0.850 |    0.777 | 0.073
   16 |    0.33061 |     0.875 |    0.775 | 0.100
   17 |    0.32602 |     0.850 |    0.743 | 0.108
   18 |    0.33091 |     0.825 |    0.748 | 0.077
   19 |    0.33784 |     0.825 |    0.750 | 0.075
   20 |    0.30659 |     0.825 |    0.780 | 0.045
   21 |    0.31748 |     0.875 |    0.798 | 0.077
   22 |    0.35447 |     0.900 |    0.790 | 0.110
   23 |    0.32765 |     0.875 |    0.815 | 0.060
   24 |    0.30524 |     0.875 |    0.825 | 0.050
   25 |    0.29319 |     0.850 |    0.837 | 0.013
   26 |    0.29717 |     0.850 |    0.805 | 0.045
   27 |    0.29278 |     0.900 |    0.775 | 0.125
   28 |    0.30368 |     0.850 |    0.800 | 0.050
   29 |    0.29353 |     0.850 |    0.812 | 0.038
   30 |    0.28181 |     0.875 |    0.817 | 0.058
   31 |    0.26808 |     0.875 |    0.808 | 0.067
   32 |    0.26039 |     0.850 |    0.812 | 0.038
   33 |    0.25987 |     0.850 |    0.810 | 0.040
   34 |    0.26969 |     0.850 |    0.812 | 0.038
   35 |    0.28038 |     0.850 |    0.803 | 0.048
   36 |    0.31800 |     0.875 |    0.798 | 0.077
   37 |    0.30753 |     0.850 |    0.805 | 0.045
   38 |    0.29312 |     0.825 |    0.795 | 0.030
   39 |    0.26097 |     0.850 |    0.808 | 0.043
   40 |    0.24915 |     0.925 |    0.793 | 0.132
   41 |    0.25597 |     0.900 |    0.765 | 0.135
   42 |    0.25050 |     0.900 |    0.822 | 0.077
   43 |    0.25578 |     0.875 |    0.830 | 0.045
   44 |    0.24480 |     0.875 |    0.822 | 0.053
   45 |    0.23525 |     0.925 |    0.808 | 0.118
   46 |    0.24974 |     0.875 |    0.723 | 0.152
   47 |    0.23036 |     0.875 |    0.767 | 0.108
   48 |    0.22635 |     0.925 |    0.783 | 0.142
   49 |    0.22678 |     0.925 |    0.822 | 0.103
   50 |    0.22024 |     0.900 |    0.827 | 0.072
   51 |    0.21910 |     0.900 |    0.845 | 0.055
   52 |    0.22258 |     0.900 |    0.733 | 0.167
   53 |    0.28970 |     0.875 |    0.637 | 0.238
   54 |    0.24377 |     0.925 |    0.733 | 0.192
   55 |    0.25402 |     0.850 |    0.835 | 0.015
   56 |    0.28129 |     0.850 |    0.835 | 0.015
   57 |    0.26721 |     0.875 |    0.853 | 0.022
   58 |    0.23530 |     0.900 |    0.825 | 0.075
   59 |    0.25310 |     0.900 |    0.748 | 0.152
   60 |    0.25711 |     0.925 |    0.738 | 0.188
   61 |    0.22670 |     0.925 |    0.795 | 0.130
   62 |    0.20555 |     0.925 |    0.815 | 0.110
   63 |    0.20502 |     0.925 |    0.820 | 0.105
   64 |    0.19786 |     0.925 |    0.788 | 0.137
   65 |    0.19571 |     0.925 |    0.790 | 0.135
   66 |    0.19537 |     0.925 |    0.820 | 0.105
   67 |    0.19240 |     0.950 |    0.803 | 0.147
   68 |    0.19868 |     0.900 |    0.783 | 0.117
   69 |    0.22048 |     0.900 |    0.750 | 0.150
   70 |    0.19480 |     0.925 |    0.755 | 0.170
   71 |    0.17667 |     0.925 |    0.800 | 0.125
   72 |    0.19629 |     0.925 |    0.767 | 0.158
   73 |    0.18688 |     0.925 |    0.772 | 0.153
   74 |    0.17654 |     0.925 |    0.767 | 0.158
   75 |    0.16836 |     0.950 |    0.770 | 0.180
   76 |    0.16663 |     0.950 |    0.767 | 0.183
   77 |    0.16432 |     0.925 |    0.810 | 0.115
   78 |    0.16354 |     0.925 |    0.822 | 0.103
   79 |    0.15849 |     0.950 |    0.803 | 0.147
   80 |    0.16043 |     0.950 |    0.790 | 0.160
   81 |    0.16179 |     0.950 |    0.798 | 0.152
   82 |    0.17962 |     0.925 |    0.770 | 0.155
   83 |    0.18095 |     0.925 |    0.755 | 0.170
   84 |    0.16608 |     0.925 |    0.808 | 0.118
   85 |    0.16618 |     0.925 |    0.815 | 0.110
   86 |    0.17046 |     0.925 |    0.795 | 0.130
   87 |    0.16731 |     0.950 |    0.733 | 0.217
   88 |    0.16800 |     0.950 |    0.652 | 0.298
   89 |    0.18124 |     0.925 |    0.625 | 0.300
   90 |    0.16361 |     0.950 |    0.683 | 0.267
   91 |    0.15535 |     0.925 |    0.775 | 0.150
   92 |    0.19908 |     0.925 |    0.812 | 0.113
   93 |    0.22852 |     0.925 |    0.812 | 0.113
   94 |    0.22376 |     0.925 |    0.815 | 0.110
   95 |    0.20723 |     0.925 |    0.822 | 0.103
   96 |    0.19334 |     0.925 |    0.825 | 0.100
   97 |    0.17649 |     0.925 |    0.825 | 0.100
   98 |    0.16723 |     0.925 |    0.790 | 0.135
   99 |    0.16427 |     0.950 |    0.770 | 0.180
  100 |    0.15923 |     0.975 |    0.748 | 0.228
